img_name,timestamp_utc,mattime,fsc_z,fsc_thn_z,cf_shcu,cf_tot,solar_azimuth,skyopq,skythn,clr_z,thn_z,opq_z,cbh_bin,spd_rwp_cbh,dirn_rwp_cbh
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180000.png.20120525180000.png,20120525180000,735014.75,0.379950574836145,0.32147845707532,0.262222222222222,0.262222222222222,157.425903320312,27.4761734008789,31.6192855834961,28854,14960,2721,934.716981132075,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180030.png.20120525180030.png,20120525180030,735014.750347222,0.409362378619919,0.334966056543783,0.235555555555556,0.235555555555556,157.812652587891,26.9092559814453,32.2132568359375,27493,15592,3463,936.699029126214,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180100.png.20120525180100.png,20120525180100,735014.750694444,0.472544969446596,0.337701179103193,0.235555555555556,0.235555555555556,158.201019287109,27.6035404205322,31.948766708374,24514,15695,6267,938.557213930348,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180130.png.20120525180130.png,20120525180130,735014.751041667,0.512530923953964,0.34540174249758,0.253333333333333,0.253333333333333,158.591003417969,27.7300109863281,30.7157745361328,22660,16056,7769,940.360824742268,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180200.png.20120525180200.png,20120525180200,735014.751388889,0.570135260090747,0.402877233726856,0.284444444444444,0.284444444444444,158.982574462891,26.7761764526367,32.6026344299316,19990,18735,7778,943.523316062176,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180230.png.20120525180230.png,20120525180230,735014.751736111,0.442448207685034,0.309485945156022,0.254464285714286,0.254464285714286,159.375732421875,24.606128692627,28.4588375091553,25944,14401,6187,945.473684210526,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180300.png.20120525180300.png,20120525180300,735014.752083333,0.409505572528938,0.309953096088472,0.253333333333333,0.253333333333333,159.770431518555,24.1163349151611,30.4785614013672,27445,14406,4627,946.473684210526,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180330.png.20120525180330.png,20120525180330,735014.752430556,0.407874962428614,0.34368156640474,0.253333333333333,0.253333333333333,160.16667175293,24.0513496398926,31.8553199768066,27580,16008,2990,946.421052631579,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180400.png.20120525180400.png,20120525180400,735014.752777778,0.421931688886027,0.300057963547369,0.275555555555556,0.275555555555556,160.564437866211,25.7393779754639,30.2579765319824,26927,13977,5677,947.173913043478,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180430.png.20120525180430.png,20120525180430,735014.753125,0.420725544588521,0.246887297593704,0.284444444444444,0.284444444444444,160.96369934082,26.1851673126221,28.5571193695068,26938,11481,8084,947.954545454545,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180500.png.20120525180500.png,20120525180500,735014.753472222,0.500171902531265,0.286303665821479,0.284444444444444,0.284444444444444,161.364440917969,26.4631786346436,26.880651473999,23261,13324,9953,947.857142857143,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180530.png.20120525180530.png,20120525180530,735014.753819444,0.633377756760242,0.390632388977258,0.285714285714286,0.285714285714286,161.766632080078,27.6424083709717,31.6006698608398,17056,18173,11293,948.381502890173,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180600.png.20120525180600.png,20120525180600,735014.754166667,0.576509778637438,0.420653341929938,0.32,0.32,162.170272827148,25.2414798736572,32.3049583435059,19705,19573,7252,949.090909090909,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180630.png.20120525180630.png,20120525180630,735014.754513889,0.438915683403669,0.323012660408234,0.32,0.32,162.575317382812,25.1992816925049,27.5453948974609,26059,15002,5383,949.294117647059,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180700.png.20120525180700.png,20120525180700,735014.754861111,0.360983169041367,0.203887047479661,0.32,0.32,162.981750488281,27.916187286377,21.8073501586914,29690,9473,7299,951.165644171779,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180730.png.20120525180730.png,20120525180730,735014.755208333,0.384306655506192,0.129440044641899,0.32,0.32,163.389556884766,31.7497844696045,18.1937065124512,28687,6031,11875,952.709677419355,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180800.png.20120525180800.png,20120525180800,735014.755555556,0.557180223832597,0.164744221945886,0.328888888888889,0.328888888888889,163.798690795898,36.5556182861328,19.2683715820312,20654,7684,18304,953.243243243243,11.5166665712992,171.829182132019
sgptsicldmaskC1.a1.20120525/sgptsicldmaskC1.a1.20120525.180830.png.20120525180830.png,20120525180830,735014.755902778,0.634045663671153,0.131551790858666,0.339285714285714,0.339285714285714,164.20915222168,39.5175437927246,18.4185218811035,17022,6119,23373,954.794520547945,11.5166665712992,171.829182132019
